Auto Rename Tag                                 = formulahendry.auto-rename-tag
Babel ES6/ES7v                                  = dzannotti.vscode-babel-coloring 
Babel JavaScript                                = mgmcdermott.vscode-language-babel
Bracket Pair Colorizer                          = CoenraadS.bracket-pair-colorizer
Code Runner                                     = formulahendry.code-runner
HTML Snippetsv                                  = abusaidm.html-snippets
JellyFish Theme                                 = PawelBorkar.jellyfish
vscode-pets                                     = tonybaloney.vscode-pets
Simple React Snippets                           = burkeholland.simple-react-snippets
Peacock                                         = johnpapa.vscode-peacock
One Dark Pro                                    = zhuangtongfa.material-theme
Visual Studio IntelliCode                       = VisualStudioExptTeam.vscodeintellicode
Live Server                                     = ritwickdey.LiveServer
Material Icon Theme                             = PKief.material-icon-theme
PDF Preview                                     = analytic-signal.preview-pdf
Thunder Client                                  = rangav.vscode-thunder-client
JavaScript (ES6) code snippets                  = xabikos.JavaScriptSnippets
Prettier - Code formatter                       = esbenp.prettier-vscode
Tailwind CSS IntelliSense                       = bradlc.vscode-tailwindcss
ES7 React/Redux/GraphQL/React-Native snippets   = rodrigovallades.es7-react-js-snippets
